file_name,best_score,pass_epoch,layer,mem_size,update_every,learn_every,learning_rate,eps_decay,double_qnet,delayer
[..]_test_7.p,15.96,500,"[64, 64]",20000,2,16,0.0005,0.99,False,True
[..]_test_64.p,15.14,400,"[128, 64]",20000,2,4,0.0005,0.99,True,True
[..]_test_53.p,14.86,700,"[64, 64]",5000,2,8,0.001,0.995,False,True
[..]_test_34.p,14.82,400,"[32, 32, 32]",20000,5,4,0.001,0.99,True,True
[..]_test_28.p,14.82,600,"[128, 64]",20000,1,4,0.0002,0.99,True,False
[..]_test_72.p,14.68,400,"[64, 64]",20000,5,4,0.0005,0.99,False,True
[..]_test_8.p,14.53,500,"[64, 64]",20000,1,4,0.0002,0.99,True,False
[..]_test_58.p,14.38,500,"[32, 32]",5000,2,4,0.001,0.99,True,True
[..]_test_94.p,14.33,600,"[32, 32, 32]",20000,5,2,0.0002,0.995,False,False
[..]_test_41.p,14.3,400,"[32, 32, 32]",20000,5,16,0.001,0.99,False,True


























































































